filename,nrow,ncol,nnz,sparsity,N(B),cusparse,SEQREDUCE_ROWBALANCE,PARREDUCE_ROWBALANCE,SEQREDUCE_NNZBALANCE,PARREDUCE_NNZBALANCE,ROWCACHING_ROWBALANCE,ROWCACHING_NNZBALANCE,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME
kneser_10_4_1.mtx,349651,330751,992252,8.57998e-06,256,0.860979,1.04919,10.3661,12.5889,4.66893,1.22481,0.914432,0,CuSparse
flower_8_4.mtx,55081,125361,375266,5.43469e-05,256,0.241664,0.252211,1.70506,2.73592,1.06721,0.215654,0.245248,5,ROWCACHING_ROWBALANCE
cavity10.mtx,2597,2597,76367,0.011323,256,0.027136,0.0227328,0.0831488,0.28119,0.110694,0.0187392,0.0236544,5,ROWCACHING_ROWBALANCE
nemeth02.mtx,9506,9506,202157,0.00223714,256,0.0494592,0.0495616,0.247296,0.869888,0.31529,0.0369664,0.0470016,5,ROWCACHING_ROWBALANCE
curtis54.mtx,54,54,291,0.0997942,256,0.0139264,0.0041984,0.0045056,0.0047104,0.0065536,0.0041984,0.0096256,1,SEQREDUCE_ROWBALANCE
fs_680_3.mtx,680,680,2646,0.00572232,256,0.0180224,0.0049152,0.0172032,0.0259072,0.0130048,0.0068608,0.0154624,1,SEQREDUCE_ROWBALANCE
vanbody.mtx,47072,47072,1191985,0.000537954,256,0.297165,0.31785,1.41486,5.40928,1.92788,0.203981,0.32215,5,ROWCACHING_ROWBALANCE
p2p-Gnutella25.mtx,22687,22687,54705,0.000106285,256,0.0600064,0.0538624,0.429466,0.741786,0.224973,0.0453632,0.039936,6,ROWCACHING_NNZBALANCE
F2.mtx,71505,71505,2682895,0.000524724,256,0.721101,0.710758,2.81221,7.20353,4.33531,0.44032,0.885862,5,ROWCACHING_ROWBALANCE
freeFlyingRobot_16.mtx,6078,6078,23825,0.000644928,256,0.022016,0.0136192,0.108134,0.221082,0.068096,0.0164864,0.0169984,1,SEQREDUCE_ROWBALANCE
SiO.mtx,33401,33401,675528,0.000605514,256,0.198246,0.231117,0.970752,3.23113,1.165,0.168448,0.228352,5,ROWCACHING_ROWBALANCE
3Dspectralwave.mtx,680943,680943,17165766,3.70204e-05,256,8.90962,1415.66,153.442,207.423,169.119,647.635,12.7794,0,CuSparse
ABACUS_shell_md.mtx,23412,23412,0,0,256,0.0164864,0.0226304,0.319078,0.559718,0.141107,0.0131072,0.0111616,6,ROWCACHING_NNZBALANCE
CurlCurl_0.mtx,11083,11083,62213,0.000506485,256,0.0304128,0.0262144,0.20224,0.467661,0.150016,0.027136,0.0244736,6,ROWCACHING_NNZBALANCE
pkustk03.mtx,63336,63336,1596876,0.00039808,256,0.391168,0.431616,2.06479,7.36317,2.62738,0.264192,0.435302,5,ROWCACHING_ROWBALANCE
lp_tuff.mtx,333,628,4561,0.02181,256,0.0187392,0.0099328,0.0134144,0.0216064,0.0125952,0.0110592,0.0141312,1,SEQREDUCE_ROWBALANCE
G56.mtx,5000,5000,12498,0.00049992,256,0.0214016,0.0100352,0.08704,0.159539,0.0446464,0.0145408,0.0172032,1,SEQREDUCE_ROWBALANCE
lhr71.mtx,70304,70304,1528092,0.000309164,256,0.42711,0.477286,2.64448,7.34607,2.86505,0.359117,0.494592,5,ROWCACHING_ROWBALANCE
dwt_221.mtx,221,221,925,0.018939,256,0.0144384,0.0045056,0.007168,0.0100352,0.0084992,0.0045056,0.01024,1,SEQREDUCE_ROWBALANCE
af_0_k101.mtx,503625,503625,9027150,3.55907e-05,256,2.1246,2.69732,15.4996,50.0161,18.1002,1.94038,2.56522,5,ROWCACHING_ROWBALANCE
blckhole.mtx,2132,2132,8502,0.00187045,256,0.01792,0.007168,0.0413696,0.0775168,0.0254976,0.0094208,0.0119808,1,SEQREDUCE_ROWBALANCE
af_shell1.mtx,504855,504855,9046865,3.54948e-05,256,2.14467,2.71309,15.5545,50.1333,18.1494,1.93997,2.57014,5,ROWCACHING_ROWBALANCE
OPF_10000.mtx,43887,43887,255799,0.000132809,256,0.12288,0.146944,1.04018,1.98349,0.697958,0.12544,0.118272,6,ROWCACHING_NNZBALANCE
nsct.mtx,23003,37563,697738,0.000807509,256,0.201011,0.229376,0.883507,3.15832,1.09373,0.190464,0.260301,5,ROWCACHING_ROWBALANCE
mhda416.mtx,416,416,8562,0.0494753,256,0.016896,0.0068608,0.014848,0.0331776,0.0175104,0.006144,0.0116736,5,ROWCACHING_ROWBALANCE
oscil_dcop_28.mtx,430,430,1544,0.00835046,256,0.016896,0.004608,0.0120832,0.016896,0.01024,0.00512,0.0147456,1,SEQREDUCE_ROWBALANCE
ch5-5-b4.mtx,120,600,600,0.00833333,256,0.0157696,0.004096,0.0059392,0.0070656,0.006656,0.0045056,0.0128,1,SEQREDUCE_ROWBALANCE
ch6-6-b2.mtx,2400,450,7200,0.00666667,256,0.018432,0.0078848,0.049664,0.080384,0.0269312,0.0120832,0.0139264,1,SEQREDUCE_ROWBALANCE
specular.mtx,477976,1600,7647616,0.01,256,1.26188,1.94796,15.3115,43.5568,16.1676,1.66339,1.82129,0,CuSparse
aug2dc.mtx,30200,30200,40000,4.38577e-05,256,0.0602112,0.0730112,0.622285,0.859546,0.259072,0.0780288,0.0371712,6,ROWCACHING_NNZBALANCE
mycielskian9.mtx,383,383,7271,0.0495675,256,0.016896,0.0131072,0.0145408,0.0297984,0.0149504,0.014848,0.0128,6,ROWCACHING_NNZBALANCE
id2010.mtx,149842,149842,364132,1.62178e-05,256,0.253645,0.340275,3.3751,5.01565,1.61915,0.323994,0.238592,6,ROWCACHING_NNZBALANCE
c8_mat11.mtx,4562,5761,2462970,0.0937143,256,0.481075,0.605696,1.25256,1.53006,2.81487,0.376218,0.648499,5,ROWCACHING_ROWBALANCE
G3_circuit.mtx,1585478,1585478,4623152,1.83915e-06,256,3.28294,4.18437,40.3535,58.9463,19.777,3.96257,3.50986,0,CuSparse
