filename,nrow,ncol,nnz,sparsity,N(B),cusparse,SEQREDUCE_ROWBALANCE,PARREDUCE_ROWBALANCE,SEQREDUCE_NNZBALANCE,PARREDUCE_NNZBALANCE,ROWCACHING_ROWBALANCE,ROWCACHING_NNZBALANCE,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME
kneser_10_4_1.mtx,349651,330751,992252,8.57998e-06,20,0.249446,0.131686,0.85463,1.20617,0.371814,0.27648,0.157389,1,SEQREDUCE_ROWBALANCE
flower_8_4.mtx,55081,125361,375266,5.43469e-05,20,0.0580608,0.0182272,0.0948224,0.23767,0.0779264,0.0462848,0.029696,1,SEQREDUCE_ROWBALANCE
cavity10.mtx,2597,2597,76367,0.011323,20,0.0190464,0.0075776,0.0094208,0.0292864,0.0140288,0.0074752,0.0141312,5,ROWCACHING_ROWBALANCE
nemeth02.mtx,9506,9506,202157,0.00223714,20,0.0292864,0.0106496,0.0202752,0.0800768,0.0295936,0.0114688,0.0176128,1,SEQREDUCE_ROWBALANCE
curtis54.mtx,54,54,291,0.0997942,20,0.013824,0.0044032,0.0038912,0.0044032,0.0052224,0.004096,0.0094208,2,PARREDUCE_ROWBALANCE
fs_680_3.mtx,680,680,2646,0.00572232,20,0.017408,0.0039936,0.0044032,0.0054272,0.0067584,0.0041984,0.0130048,1,SEQREDUCE_ROWBALANCE
vanbody.mtx,47072,47072,1191985,0.000537954,20,0.102502,0.0340992,0.0877568,0.480154,0.150118,0.045568,0.0729088,1,SEQREDUCE_ROWBALANCE
p2p-Gnutella25.mtx,22687,22687,54705,0.000106285,20,0.0284672,0.0088064,0.0339968,0.0664576,0.0183296,0.011264,0.0150528,1,SEQREDUCE_ROWBALANCE
F2.mtx,71505,71505,2682895,0.000524724,20,0.248218,0.0996352,0.202752,0.708915,0.350618,0.0984064,0.179507,5,ROWCACHING_ROWBALANCE
freeFlyingRobot_16.mtx,6078,6078,23825,0.000644928,20,0.0191488,0.005632,0.0119808,0.0222208,0.0099328,0.006144,0.0135168,1,SEQREDUCE_ROWBALANCE
SiO.mtx,33401,33401,675528,0.000605514,20,0.068096,0.0449536,0.0657408,0.297165,0.0933888,0.049152,0.047616,1,SEQREDUCE_ROWBALANCE
3Dspectralwave.mtx,680943,680943,17165766,3.70204e-05,20,1.77388,1336.24,164.682,49.524,15.1369,595.633,1.23822,6,ROWCACHING_NNZBALANCE
ABACUS_shell_md.mtx,23412,23412,0,0,20,0.009728,0.004608,0.0292864,0.050176,0.0109568,0.00512,0.004608,1,SEQREDUCE_ROWBALANCE
CurlCurl_0.mtx,11083,11083,62213,0.000506485,20,0.0211968,0.0060416,0.0192512,0.0438272,0.0150528,0.0089088,0.013824,1,SEQREDUCE_ROWBALANCE
pkustk03.mtx,63336,63336,1596876,0.00039808,20,0.133325,0.0408576,0.122266,0.65239,0.201626,0.054784,0.095232,1,SEQREDUCE_ROWBALANCE
lp_tuff.mtx,333,628,4561,0.02181,20,0.018432,0.0098304,0.0048128,0.0062464,0.006144,0.0084992,0.0124928,2,PARREDUCE_ROWBALANCE
G56.mtx,5000,5000,12498,0.00049992,20,0.0193536,0.0049152,0.0101376,0.016896,0.0078848,0.0060416,0.0142336,1,SEQREDUCE_ROWBALANCE
