filename,nrow,ncol,nnz,sparsity,N(B),cusparse,SEQREDUCE_ROWBALANCE,PARREDUCE_ROWBALANCE,SEQREDUCE_NNZBALANCE,PARREDUCE_NNZBALANCE,ROWCACHING_ROWBALANCE,ROWCACHING_NNZBALANCE,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME
kneser_10_4_1.mtx,349651,330751,992252,8.57998e-06,1024,3.41402,4.18345,41.4254,50.4918,18.8124,3.88434,3.6694,0,CuSparse
flower_8_4.mtx,55081,125361,375266,5.43469e-05,1024,0.881869,0.997581,6.75185,10.9481,4.22267,0.728576,0.924262,5,ROWCACHING_ROWBALANCE
cavity10.mtx,2597,2597,76367,0.011323,1024,0.065536,0.07424,0.32,1.11862,0.41769,0.0480256,0.0515072,5,ROWCACHING_ROWBALANCE
nemeth02.mtx,9506,9506,202157,0.00223714,1024,0.187597,0.20777,1.06056,3.47976,1.27816,0.112947,0.133837,5,ROWCACHING_ROWBALANCE
curtis54.mtx,54,54,291,0.0997942,1024,0.0142336,0.0044032,0.0078848,0.0104448,0.008192,0.0053248,0.0116736,1,SEQREDUCE_ROWBALANCE
fs_680_3.mtx,680,680,2646,0.00572232,1024,0.0202752,0.0088064,0.0548864,0.0941056,0.0318464,0.0125952,0.0211968,1,SEQREDUCE_ROWBALANCE
vanbody.mtx,47072,47072,1191985,0.000537954,1024,1.13654,1.26812,5.66006,21.848,7.6926,0.661914,0.888832,5,ROWCACHING_ROWBALANCE
p2p-Gnutella25.mtx,22687,22687,54705,0.000106285,1024,0.182374,0.204493,1.72145,2.97615,0.895693,0.143053,0.13783,6,ROWCACHING_NNZBALANCE
F2.mtx,71505,71505,2682895,0.000524724,1024,2.82255,2.85583,11.2206,29.05,17.3363,1.62294,2.38346,5,ROWCACHING_ROWBALANCE
freeFlyingRobot_16.mtx,6078,6078,23825,0.000644928,1024,0.067072,0.0653312,0.501146,0.875213,0.26583,0.0500736,0.0463872,6,ROWCACHING_NNZBALANCE
SiO.mtx,33401,33401,675528,0.000605514,1024,0.734925,0.812646,3.86632,12.9742,4.62725,0.534528,0.604672,5,ROWCACHING_ROWBALANCE
3Dspectralwave.mtx,680943,680943,17165766,3.70204e-05,1024,35.6408,1360.86,190.111,829.238,676.149,846.001,25.6252,6,ROWCACHING_NNZBALANCE
ABACUS_shell_md.mtx,23412,23412,0,0,1024,0.055808,0.0915456,1.27549,2.22249,0.557056,0.0579584,0.0197632,6,ROWCACHING_NNZBALANCE
CurlCurl_0.mtx,11083,11083,62213,0.000506485,1024,0.109261,0.131891,0.943104,1.86419,0.608461,0.0908288,0.08704,6,ROWCACHING_NNZBALANCE
pkustk03.mtx,63336,63336,1596876,0.00039808,1024,1.50159,1.71837,8.0342,29.717,10.4557,0.880435,1.18886,5,ROWCACHING_ROWBALANCE
lp_tuff.mtx,333,628,4561,0.02181,1024,0.0205824,0.0152576,0.0364544,0.0770048,0.0318464,0.0198656,0.018944,1,SEQREDUCE_ROWBALANCE
G56.mtx,5000,5000,12498,0.00049992,1024,0.0536576,0.0478208,0.401408,0.630477,0.165376,0.0407552,0.0402432,6,ROWCACHING_NNZBALANCE
lhr71.mtx,70304,70304,1528092,0.000309164,1024,1.65939,1.88692,10.5243,29.6374,11.3963,1.16838,1.23822,5,ROWCACHING_ROWBALANCE
dwt_221.mtx,221,221,925,0.018939,1024,0.0156672,0.005632,0.0188416,0.0320512,0.0137216,0.0060416,0.0132096,1,SEQREDUCE_ROWBALANCE
af_0_k101.mtx,503625,503625,9027150,3.55907e-05,1024,8.54108,10.9754,62.1619,201.967,72.4129,6.51264,6.42376,6,ROWCACHING_NNZBALANCE
blckhole.mtx,2132,2132,8502,0.00187045,1024,0.0237568,0.0182272,0.151347,0.300237,0.083456,0.0201728,0.019456,1,SEQREDUCE_ROWBALANCE
af_shell1.mtx,504855,504855,9046865,3.54948e-05,1024,8.6486,10.9957,62.3316,202.443,72.707,6.53855,6.49308,6,ROWCACHING_NNZBALANCE
OPF_10000.mtx,43887,43887,255799,0.000132809,1024,0.417382,0.583987,4.16942,7.97133,2.79869,0.401101,0.39639,6,ROWCACHING_NNZBALANCE
nsct.mtx,23003,37563,697738,0.000807509,1024,0.731341,0.840397,3.50843,12.573,4.32947,0.577536,0.659763,5,ROWCACHING_ROWBALANCE
mhda416.mtx,416,416,8562,0.0494753,1024,0.018944,0.0131072,0.0459776,0.12329,0.0512,0.0100352,0.0161792,5,ROWCACHING_ROWBALANCE
oscil_dcop_28.mtx,430,430,1544,0.00835046,1024,0.0185344,0.0068608,0.0359424,0.0586752,0.0214016,0.0089088,0.0200704,1,SEQREDUCE_ROWBALANCE
ch5-5-b4.mtx,120,600,600,0.00833333,1024,0.0166912,0.0047104,0.0129024,0.0193536,0.0106496,0.0063488,0.0177152,1,SEQREDUCE_ROWBALANCE
ch6-6-b2.mtx,2400,450,7200,0.00666667,1024,0.0248832,0.0203776,0.184013,0.313037,0.089088,0.0304128,0.0227328,1,SEQREDUCE_ROWBALANCE
specular.mtx,477976,1600,7647616,0.01,1024,5.13341,7.8465,61.2802,175.83,64.6851,5.37692,4.47631,6,ROWCACHING_NNZBALANCE
