filename,nrow,ncol,nnz,sparsity,N(B),cusparse,SEQREDUCE_ROWBALANCE,PARREDUCE_ROWBALANCE,SEQREDUCE_NNZBALANCE,PARREDUCE_NNZBALANCE,ROWCACHING_ROWBALANCE,ROWCACHING_NNZBALANCE,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME
kneser_10_4_1.mtx,349651,330751,992252,8.57998e-06,64,0.283034,0.314778,2.61059,3.32841,1.17258,0.516096,0.324301,0,CuSparse
flower_8_4.mtx,55081,125361,375266,5.43469e-05,64,0.0939008,0.069632,0.438989,0.728166,0.271258,0.088064,0.101888,1,SEQREDUCE_ROWBALANCE
cavity10.mtx,2597,2597,76367,0.011323,64,0.0190464,0.0094208,0.0249856,0.0731136,0.0340992,0.0100352,0.0146432,1,SEQREDUCE_ROWBALANCE
nemeth02.mtx,9506,9506,202157,0.00223714,64,0.029184,0.015872,0.0673792,0.219955,0.0863232,0.0186368,0.0259072,1,SEQREDUCE_ROWBALANCE
curtis54.mtx,54,54,291,0.0997942,64,0.0136192,0.0039936,0.0037888,0.0043008,0.0054272,0.0038912,0.0086016,2,PARREDUCE_ROWBALANCE
fs_680_3.mtx,680,680,2646,0.00572232,64,0.01792,0.0044032,0.0069632,0.0088064,0.008192,0.004608,0.0128,1,SEQREDUCE_ROWBALANCE
vanbody.mtx,47072,47072,1191985,0.000537954,64,0.124211,0.083456,0.355328,1.35619,0.485888,0.0825344,0.125338,5,ROWCACHING_ROWBALANCE
p2p-Gnutella25.mtx,22687,22687,54705,0.000106285,64,0.028672,0.0120832,0.0969728,0.185549,0.059392,0.0175104,0.0172032,1,SEQREDUCE_ROWBALANCE
F2.mtx,71505,71505,2682895,0.000524724,64,0.308838,0.185754,0.73257,1.84535,1.13623,0.172442,0.379904,5,ROWCACHING_ROWBALANCE
freeFlyingRobot_16.mtx,6078,6078,23825,0.000644928,64,0.0191488,0.0058368,0.0301056,0.0576512,0.0205824,0.008704,0.0132096,1,SEQREDUCE_ROWBALANCE
SiO.mtx,33401,33401,675528,0.000605514,64,0.0702464,0.0709632,0.222413,0.815923,0.292454,0.0728064,0.078336,0,CuSparse
3Dspectralwave.mtx,680943,680943,17165766,3.70204e-05,64,4.40504,1335.62,158.651,102.86,42.3151,559.1,3.41238,6,ROWCACHING_NNZBALANCE
ABACUS_shell_md.mtx,23412,23412,0,0,64,0.0096256,0.0074752,0.08192,0.14121,0.0367616,0.0074752,0.0068608,6,ROWCACHING_NNZBALANCE
CurlCurl_0.mtx,11083,11083,62213,0.000506485,64,0.0214016,0.0084992,0.0539648,0.119398,0.0417792,0.013312,0.0154624,1,SEQREDUCE_ROWBALANCE
pkustk03.mtx,63336,63336,1596876,0.00039808,64,0.173773,0.109875,0.536269,1.86327,0.678605,0.103936,0.185958,5,ROWCACHING_ROWBALANCE
lp_tuff.mtx,333,628,4561,0.02181,64,0.0186368,0.0093184,0.0074752,0.0083968,0.0075776,0.0091136,0.0121856,2,PARREDUCE_ROWBALANCE
G56.mtx,5000,5000,12498,0.00049992,64,0.0196608,0.0052224,0.025088,0.0423936,0.0160768,0.0083968,0.0136192,1,SEQREDUCE_ROWBALANCE
lhr71.mtx,70304,70304,1528092,0.000309164,64,0.195174,0.148992,0.690176,1.88447,0.743322,0.14633,0.227021,5,ROWCACHING_ROWBALANCE
dwt_221.mtx,221,221,925,0.018939,64,0.0142336,0.0041984,0.0044032,0.00512,0.006656,0.0041984,0.009728,1,SEQREDUCE_ROWBALANCE
af_0_k101.mtx,503625,503625,9027150,3.55907e-05,64,0.850842,0.693146,3.95018,12.5946,4.69627,0.789094,1.20699,1,SEQREDUCE_ROWBALANCE
blckhole.mtx,2132,2132,8502,0.00187045,64,0.016896,0.0047104,0.013312,0.0217088,0.0106496,0.0059392,0.0108544,1,SEQREDUCE_ROWBALANCE
af_shell1.mtx,504855,504855,9046865,3.54948e-05,64,0.8576,0.681677,3.9637,12.6234,4.70907,0.789811,1.2162,1,SEQREDUCE_ROWBALANCE
OPF_10000.mtx,43887,43887,255799,0.000132809,64,0.0489472,0.03072,0.232141,0.49408,0.167834,0.050688,0.0371712,1,SEQREDUCE_ROWBALANCE
nsct.mtx,23003,37563,697738,0.000807509,64,0.072192,0.0702464,0.198861,0.79401,0.271974,0.0846848,0.0833536,1,SEQREDUCE_ROWBALANCE
mhda416.mtx,416,416,8562,0.0494753,64,0.0159744,0.0052224,0.0068608,0.010752,0.008704,0.00512,0.0106496,5,ROWCACHING_ROWBALANCE
oscil_dcop_28.mtx,430,430,1544,0.00835046,64,0.0161792,0.0041984,0.005632,0.0064512,0.0077824,0.0041984,0.0118784,1,SEQREDUCE_ROWBALANCE
ch5-5-b4.mtx,120,600,600,0.00833333,64,0.0155648,0.0037888,0.004096,0.0047104,0.0055296,0.0039936,0.0121856,1,SEQREDUCE_ROWBALANCE
